Country,Continent,GDP_per_capita,life_expectancy,Population
Afghanistan,Asia,663,54.863,22856302
Albania,Europe,4195,74.2,3071856
Algeria,Africa,5098,68.96300000000001,30533827
Angola,Africa,2446,45.233999999999995,13926373
Antigua and Barbuda,N. America,12738,73.544,77656
Argentina,S. America,10571,73.822,36930709
Armenia,Europe,2114,71.494,3076098
Australia,Oceania,29241,79.93,19164351
Austria,Europe,32008,78.33,8004712
Azerbaijan,Europe,2533,66.851,8110723
Bahamas,N. America,22728,72.37,297651
Bahrain,Asia,22015,74.497,638193
Bangladesh,Asia,1075,65.309,129592275
Barbados,N. America,14982,73.118,267511
Belarus,Europe,5936,68.99,10057810
Belgium,Europe,29940,77.91,10175684
Belize,N. America,6545,70.425,250512
Benin,Africa,1307,55.261,6517810
Bhutan,Asia,2922,60.306999999999995,571262
Bolivia,S. America,3394,62.994,8307248
Bosnia and Herzegovina,Europe,5733,74.882,3693698
Botswana,Africa,10107,50.567,1757925
Brazil,S. America,8056,70.26100000000001,174425387
Brunei,Asia,48020,75.92699999999999,327036
Bulgaria,Europe,6907,71.59,8006158
Burkina Faso,Africa,1001,50.589,12294012
Burundi,Africa,443,48.251000000000005,6374347
Cambodia,Asia,982,62.03,12446949
Cameroon,Africa,1803,51.96,15678269
Canada,N. America,32448,79.41,30667365
Cape Verde,Africa,2291,69.835,437238
Central African Rep.,Africa,762,43.727,3701607
Chad,Africa,1017,46.708,8222327
Chile,S. America,10435,77.01,15419820
China,Asia,3407,72.124,1269116737
Colombia,S. America,5749,71.02600000000001,39764166
Comoros,Africa,1090,57.9,562469
"Congo, Dem. Rep.",Africa,292,46.387,49626200
"Congo, Rep.",Africa,3423,52.326,3135773
Costa Rica,N. America,7672,77.721,3919180
Cote d'Ivoire,Africa,1746,46.428999999999995,16581653
Croatia,Europe,10582,74.798,4505533
Cuba,N. America,6115,76.684,11104313
Cyprus,Europe,22821,78.01100000000001,943294
Czech Rep.,Europe,16823,75.05,10242890
Denmark,Europe,31805,76.9,5339501
Djibouti,Africa,1894,57.023,731930
Dominican Rep.,N. America,4350,70.553,8591967
Ecuador,S. America,5616,73.35300000000001,12345023
Egypt,Africa,4629,68.632,67648419
El Salvador,N. America,5341,69.715,5940305
Equatorial Guinea,Africa,5240,47.723,520380
Eritrea,Africa,741,56.131,3667576
Estonia,Europe,11244,70.8,1370749
Ethiopia,Africa,512,52.245,65577897
Fiji,Oceania,3856,67.553,811718
Finland,Europe,27171,77.76,5173370
France,Europe,28636,79.23,59047795
Gabon,Africa,12764,59.744,1235274
Gambia,Africa,687,55.115,1297084
Georgia,Europe,2332,71.839,4745765
Germany,Europe,29726,78.14127463,82349027
Ghana,Africa,1067,56.996,19165490
Greece,Europe,20675,78.535,10986883
Greenland,N. America,33204,67.03,56196
Grenada,N. America,8655,70.34100000000001,101522
Guatemala,N. America,4884,67.768,11237101
Guinea,Africa,906,51.257,8344486
Guinea-Bissau,Africa,632,51.468,1240655
Guyana,S. America,3141,63.29,733101
Haiti,N. America,1344,57.46,8645371
Honduras,N. America,3093,70.482,6218151
"Hong Kong, China",Asia,29972,80.361,6783317
Hungary,Europe,13592,71.86,10210545
Iceland,Europe,31092,79.72,281210
India,Asia,1648,62.129,1053898107
Indonesia,Asia,2714,67.289,213395411
Iran,Asia,8600,69.611,65342319
Iraq,Asia,3951,70.845,23857458
Ireland,Europe,30827,76.66,3803780
Israel,Asia,22834,78.75,6014953
Italy,Europe,27160,79.73,56986329
Jamaica,N. America,6934,70.479,2581648
Japan,Asia,28559,81.35,125720310
Jordan,Asia,3664,71.72399999999999,4827096
Kazakhstan,Asia,5366,63.513000000000005,14956694
Kenya,Africa,1318,52.864,31253701
Kiribati,Oceania,3501,64.642,84010
"Korea, Dem. Rep.",Asia,1689,65.271,22894095
"Korea, Rep.",Asia,16995,76.11399999999999,45987624
Kuwait,Asia,36397,73.133,1940786
Kyrgyzstan,Asia,1527,66.232,4954850
Laos,Asia,1518,61.68899999999999,5317060
Latvia,Europe,8649,70.16,2384972
Lebanon,Asia,5795,74.40899999999999,3742329
Lesotho,Africa,1186,47.265,1963878
Liberia,Africa,519,52.424,2847290
Libya,Africa,9139,71.872,5231189
Lithuania,Europe,9631,72.18,3500028
Luxembourg,Europe,63924,77.82,435491
"Macao, China",Asia,22512,77.627,431867
"Macedonia, FYR",Europe,6975,73.244,2009091
Madagascar,Africa,1027,58.485,15364272
Malawi,Africa,713,46.04,11228756
Malaysia,Asia,10161,72.81,23414909
Maldives,Asia,3433,69.279,273236
Mali,Africa,854,49.06100000000001,11295324
Malta,Europe,20276,77.36399999999999,397420
Mauritania,Africa,1540,59.729,2642743
Mauritius,Africa,8290,71.202,1196027
Mexico,N. America,10894,74.38,99959594
"Micronesia, Fed. Sts.",Oceania,5530,67.3,107103
Moldova,Europe,1692,67.007,4106736
Mongolia,Asia,2017,62.876000000000005,2411369
Montenegro,Europe,6185,74.125,632606
Morocco,Africa,3073,68.22,28793236
Mozambique,Africa,542,47.472,18200656
Myanmar,Asia,1034,62.073,44957660
Namibia,Africa,4022,55.173,1895839
Nepal,Asia,1054,62.055,24400606
Netherlands,Europe,33000,78.24,15862825
New Zealand,Oceania,21895,78.9,3858032
Nicaragua,N. America,2490,69.682,5073704
Niger,Africa,577,50.692,10922421
Nigeria,Africa,1619,46.629,123688536
Norway,Europe,43174,78.76,4490859
Oman,Asia,19204,72.139,2264163
Pakistan,Asia,2086,63.854,144522192
Panama,N. America,7405,75.094,2956126
Papua New Guinea,Oceania,1821,58.748999999999995,5378824
Paraguay,S. America,3907,70.07300000000001,5343539
Peru,S. America,5791,70.506,25861887
Philippines,Asia,2598,66.774,77309965
Poland,Europe,11680,73.91,38302444
Portugal,Europe,19609,76.84,10336209
Qatar,Asia,60394,76.68,590957
Romania,Europe,7089,70.47,22191683
Russia,Asia,8570,65.38,146757517
Rwanda,Africa,704,47.6425,8098344
Saint Lucia,N. America,8676,71.456,157108
Saint Vincent and the Grenadines,N. America,5893,70.6,107891
Samoa,Oceania,4090,69.344,176549
Sao Tome and Principe,Africa,1320,63.336000000000006,141010
Saudi Arabia,Asia,20001,72.40100000000001,20045276
Senegal,Africa,1511,57.817,9505862
Serbia,Europe,6607,72.072,10133561
Seychelles,Africa,15230,71.771,78685
Sierra Leone,Africa,517,38.123000000000005,4143115
Singapore,Asia,36834,78.34,3919300
Slovak Republic,Europe,12689,73.19,5404845
Slovenia,Europe,19399,76.11,1985406
Solomon Islands,Oceania,1802,62.808,408732
Somalia,Africa,881,50.902,7399033
South Africa,Africa,7454,55.891999999999996,44760380
South Sudan,Africa,1883,49.248000000000005,6994624
Spain,Europe,23410,79.34,40288457
Sri Lanka,Asia,2997,71.078,18745084
Sudan,Africa,1874,57.979,27193105
Suriname,S. America,5677,67.851,466846
Swaziland,Africa,4021,48.68899999999999,1063832
Sweden,Europe,28640,79.84,8860153
Switzerland,Europe,34386,79.99,7167908
Syria,Asia,3935,73.316,15988534
Taiwan,Asia,23525,76.02,22183000
Tajikistan,Asia,1001,63.57,6172807
Tanzania,Africa,826,50.01,34038161
Thailand,Asia,5578,70.921,63155029
Timor-Leste,Asia,2743,59.468,830089
Togo,Africa,890,53.585,4793504
Tonga,Oceania,4886,70.81,97935
Trinidad and Tobago,N. America,10496,68.533,1292058
Tunisia,Africa,5480,73.15899999999999,9456117
Turkey,Asia,6803,70.01,63627862
Turkmenistan,Asia,3289,63.925,4501419
Uganda,Africa,881,48.126000000000005,24213120
Ukraine,Europe,3700,67.79,48891792
United Arab Emirates,Asia,30012,74.163,3033491
United Kingdom,Europe,28644,78.04,58874117
United States,N. America,39758,76.8,282496310
Uruguay,S. America,9092,74.777,3319066
Uzbekistan,Asia,1635,66.999,24775610
Vanuatu,Oceania,3762,67.438,185074
Venezuela,S. America,9434,72.432,24348304
Vietnam,Asia,1577,73.777,78758010
West Bank and Gaza,Asia,7586,70.929,3198560
"Yemen, Rep.",Asia,2217,60.403999999999996,17723186
Zambia,Africa,1035,41.802,10201562
Zimbabwe,Africa,745,43.976000000000006,12509477
